	IS TREATED	PERCENT OF HOUSING CROWDED	PERCENT HOUSEHOLDS BELOW POVERTY	PERCENT AGED 16+ UNEMPLOYED	PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA	PERCENT AGED UNDER 18 OR OVER 64	PER CAPITA INCOME 	HARDSHIP INDEX	Birth Rate	General Fertility Rate	Low Birth Weight	Prenatal Care Beginning in First Trimester	Preterm Births	Teen Birth Rate	Breast cancer in females	Cancer (All Sites)	Colorectal Cancer	Diabetes-related	Infant Mortality Rate	Lung Cancer	Prostate Cancer in Males	Stroke (Cerebrovascular Disease)	Childhood Blood Lead Level Screening	Childhood Lead Poisoning	Gonorrhea in Females	Gonorrhea in Males	Tuberculosis	Below Poverty Level	Crowded Housing	Dependency	No High School Diploma	Per Capita Income	Unemployment	CHANGE IN CRIMES	num old crimes	num crimes	DATE ISSUED
927	1	10.8	18.7	14.6	37.3	37.3	15461	70.0	20.0	88.6	6.9	74.1	7.6	68.2	14.4	152.6	17.7	58.6	5.6	37.8	27.3	38.2	421.5	0.8	95.9	140.9	9.4	18.6	10.0	36.9	37.0	15246	11.5	7.0	824	831.0	2017-01-26
928	1	10.8	18.7	14.6	37.3	37.3	15461	70.0	20.0	88.6	6.9	74.1	7.6	68.2	14.4	152.6	17.7	58.6	5.6	37.8	27.3	38.2	421.5	0.8	95.9	140.9	9.4	18.6	10.0	36.9	37.0	15246	11.5	-14.0	498	484.0	2019-06-14
929	1	1.5	14.7	5.7	3.1	13.5	65526	3.0	9.4	27.7	5.3	78.2	6.9	1.3	20.2	120.1	10.8	26.8	5.7	29.2	17.2	39.0	297.3	0.3	129.9	200.5	6.5	11.1	2.0	15.5	3.4	67699	4.2	-292.0	5061	4769.0	2018-10-11
930	1	1.9	12.9	7.0	2.5	22.6	88669	1.0	10.7	35.9	8.6	69.7	9.6	34.0	24.0	142.7	15.1	27.0	6.5	33.6	15.1	22.0	311.2	0.1	244.4	235.8	5.5	13.4	2.0	23.3	3.4	87163	5.2	153.0	4778	4931.0	2009-06-23
931	1	1.1	11.4	4.7	2.6	17.0	60058	5.0	13.5	38.7	6.3	79.1	8.1	15.8	20.1	126.9	13.0	38.5	2.2	32.5	17.0	24.4	179.2	0.4	81.8	357.6	3.2	10.5	1.2	16.5	2.9	58227	4.7	-62.0	751	689.0	2015-01-28
932	1	1.5	14.7	5.7	3.1	13.5	65526	3.0	9.4	27.7	5.3	78.2	6.9	1.3	20.2	120.1	10.8	26.8	5.7	29.2	17.2	39.0	297.3	0.3	129.9	200.5	6.5	11.1	2.0	15.5	3.4	67699	4.2	193.0	2623	2816.0	2014-05-07
933	1	6.0	15.3	9.2	24.7	31.0	20039	42.0	18.5	77.7	7.3	74.4	7.5	63.4	16.6	133.9	13.4	52.7	5.7	32.5	37.7	36.0	373.3	0.7	85.3	92.2	10.1	14.6	5.8	30.4	25.7	20489	9.3	38.0	1111	1149.0	2011-06-24
934	1	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	-139.0	1377	1238.0	2018-12-13
935	1	3.6	15.4	7.1	10.9	30.3	25828	24.0	15.8	70.0	3.5	82.0	5.0	15.9	20.5	138.5	8.7	47.3	2.0	37.4	2.8	40.4	182.9	0.5		.	6.3	9.5	1.9	26.5	11.0	29402	4.7	30.0	63	93.0	2015-08-25
936	1	2.8	31.1	20.0	14.0	35.7	19398	55.0	15.7	67.9	13.8	71.9	13.4	65.9	32.4	246.0	25.1	95.4	11.4	70.0	54.8	53.2	470.3	1.1	1718.6	1357.1	11.7	31.5	2.9	37.6	14.9	18366	17.7	-303.0	1879	1576.0	2019-12-09
937	1	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	-81.0	1320	1239.0	2006-08-28
938	1	7.2	18.7	13.4	32.9	35.6	16954	61.0	16.7	73.9	7.3	80.5	9.9	47.9	32.7	148.4	14.2	61.4	7.3	38.3	0.0	51.7	529.6	0.8	141.4	.	11.5	16.1	6.9	33.7	31.8	17577	11.9	29.0	305	334.0	2021-09-22
939	1	1.9	12.9	7.0	2.5	22.6	88669	1.0	10.7	35.9	8.6	69.7	9.6	34.0	24.0	142.7	15.1	27.0	6.5	33.6	15.1	22.0	311.2	0.1	244.4	235.8	5.5	13.4	2.0	23.3	3.4	87163	5.2	914.0	1368	2282.0	2002-07-31
940	1	10.8	18.7	14.6	37.3	37.3	15461	70.0	20.0	88.6	6.9	74.1	7.6	68.2	14.4	152.6	17.7	58.6	5.6	37.8	27.3	38.2	421.5	0.8	95.9	140.9	9.4	18.6	10.0	36.9	37.0	15246	11.5	32.0	634	666.0	2016-04-28
941	1	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	-114.0	1117	1003.0	2010-01-11
942	1	6.0	15.3	9.2	24.7	31.0	20039	42.0	18.5	77.7	7.3	74.4	7.5	63.4	16.6	133.9	13.4	52.7	5.7	32.5	37.7	36.0	373.3	0.7	85.3	92.2	10.1	14.6	5.8	30.4	25.7	20489	9.3	99.0	773	872.0	2016-08-15
943	1	5.7	40.1	16.7	34.5	38.3	16148	82.0	11.5	57.1	12.4	79.1	11.8	16.2	10.7	162.9	23.1	42.5	1.5	54.3	17.2	38.7	490.3	0.2	222.6	218	22.7	35.8	5.9	37.9	37.5	16942	11.6	214.0	696	910.0	2011-04-01
944	1	1.9	12.9	7.0	2.5	22.6	88669	1.0	10.7	35.9	8.6	69.7	9.6	34.0	24.0	142.7	15.1	27.0	6.5	33.6	15.1	22.0	311.2	0.1	244.4	235.8	5.5	13.4	2.0	23.3	3.4	87163	5.2	699.0	3208	3907.0	2012-06-11
945	1	3.3	17.1	9.6	19.2	42.9	22677	44.0	13.7	73.2	7.7	66.9	13.1	47.1	20.0	210.0	16.7	80.0	8.4	57.9	28.6	47.1	298.8	1.1		.	2.1	12.1	4.4	41.6	17.9	22561	9.6	68.0	320	388.0	2004-05-11
946	1	1.1	11.4	4.7	2.6	17.0	60058	5.0	13.5	38.7	6.3	79.1	8.1	15.8	20.1	126.9	13.0	38.5	2.2	32.5	17.0	24.4	179.2	0.4	81.8	357.6	3.2	10.5	1.2	16.5	2.9	58227	4.7	126.0	853	979.0	2018-02-22
947	1	3.4	10.9	8.2	13.4	25.5	37524	17.0	17.1	61.0	8.1	80.5	9.7	38.4	21.7	153.2	8.6	55.4	3.8	43.1	27.6	36.9	273.3	0.4	98.8	195.5	8.5	9.5	3.1	25.6	12.5	35503	6.8	-173.0	1158	985.0	2004-12-23
948	1	3.8	20.6	10.7	9.6	22.2	44689	15.0	18.2	55.6	9.0	77.6	10.5	36.7	33.4	202.0	19.2	62.3	9.1	66.2	33.6	43.5	396.7	0.5	629.2	466.5	14.1	21.6	3.8	22.9	11.2	41488	10.7	-484.0	1432	948.0	2019-10-31
949	1	1.3	13.8	4.9	7.4	21.8	59077	7.0	21.4	72.9	8.8	78.1	10.9	50.9	31.9	169.0	19.2	61.5	4.8	46.2	51.4	52.4	301.3	0.2	300.6	318.7	5.0	11.1	1.4	21.0	7.1	60593	5.7	-324.0	1335	1011.0	2007-11-09
950	1	6.0	15.3	9.2	24.7	31.0	20039	42.0	18.5	77.7	7.3	74.4	7.5	63.4	16.6	133.9	13.4	52.7	5.7	32.5	37.7	36.0	373.3	0.7	85.3	92.2	10.1	14.6	5.8	30.4	25.7	20489	9.3	-72.0	998	926.0	2003-10-28
951	1	1.1	7.5	6.8	4.9	40.5	44164	11.0	10.0	60.6	7.6	79.3	10.3	6.3	25.0	138.7	14.3	37.2	3.8	27.0	20.3	31.0	160.8	0.0		.	2.2	6.1	1.3	40.6	6.3	41509	5.5	-29.0	133	104.0	2011-11-14
952	1	14.4	23.6	13.9	45.1	39.3	13089	84.0	20.6	90.6	7.2	82.7	8.3	58.1	26.8	139.1	12.8	69.7	5.9	27.7	15.1	38.3	580.4	0.9	97.2	52.7	11.5	23.0	13.2	39.8	48.2	13138	11.2	1026.0	51	1077.0	2002-04-18
953	1	2.7	8.6	12.4	13.4	35.5	27751	25.0	13.8	67.8	6.6	82.9	7.7	28.6	18.4	208.2	23.2	49.2	8.3	55.7	32.1	41.9	236.8	0.2		.	7.1	6.4	1.9	34.4	13.5	27280	9.0	7.0	202	209.0	2014-04-03
